,,,,,,,,,,,,,,,,,,,,,
,Month,7,8,9,10,11 月,12 月,1,2,3,4,5,6,7,8,9,10,11,12,,Total
,"Net New Followers (Added - Unfollowed)
新增淨追蹤數（新增-取消）",120,46,31,18,51,88,112,240,,,,,,,,,,,,352
,"Target Net New Followers (Added - Unfollowed)
目標新增淨追蹤數（新增-取消）",,,,,,,132,198,297,446,668,802,962,"1,155","1,386","1,663","1,995","2,394",,"12,098"
,"Monthly Growth Rate
月度成長率",,-61.67%,-32.61%,-41.94%,183.33%,72.55%,27.27%,114.29%,,,,,,,,,,,,
,"Quarter
季度",-,-,197,-,-,157,-,-,352,-,-,0,-,-,0,-,-,0,,
,"Quarterly Growth Rate
季度成長率",-,-,,-,-,-20.30%,,,,,,,,,,,,,,
,成長率設定,,,,,,1.5,,,,,,1.2,,,,,,,,
,"Total Organic Reach
總自然觸及人數","4,061","4,532","2,258","4,275","7,981","62,922","56,390","33,498",,,,,,,,,,,,
,"Target Total Organic Reach
目標總自然觸及人數",,,,,,,"106,967","181,845","309,136","525,531","893,402","1,518,784","2,581,933","4,389,286","7,461,786","12,685,037","21,564,563","36,659,756",,"88,878,026"
,"Monthly Growth Rate
月度成長率",,11.60%,-50.18%,89.33%,86.69%,688.40%,-10.38%,-40.60%,,,,,,,,,,,,
,"Quarter
季度",-,-,"10,107",-,-,"73,340",,,"124,678",,,"211,953",,,"360,319",,,"612,543",,
,"Quarterly Growth Rate
季度成長率",-,-,,-,-,625.64%,,,,,,,,,,,,,,
,"Total Ad Reach
總廣告觸及人數","22,617",0,0,0,0,0,,"6,394",,,,,,,,,,,,"29,011"
,"Monthly Growth Rate
月度成長率",-,-,-,-,-,-,,,,,,,,,,,,,,
,"Quarter
季度",-,-,,-,-,0,,,,,,,,,,,,,,
,"Quarterly Growth Rate
季度成長率",-,-,,-,-,-,,,,,,,,,,,,,,
,"Total Reach
總觸及人數","26,263","4,532","2,258","4,275","7,981","62,922","56,390","39,892",0,,,,,,,,,,,"204,513"
,"Monthly Growth Rate
月度成長率",,-82.74%,-50.18%,89.33%,86.69%,688.40%,,,,,,,,,,,,,,
,"Quarter
季度",-,-,"33,053",-,-,"75,178",,,,,,,,,,,,,,
,"Quarterly Growth Rate
季度成長率",-,-,,-,-,127.45%,,,,,,,,,,,,,,
,成長率設定,,,,,,170%,,,,170%,,,170%,,,170%,,,,
