,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q1 ,M,W,,Q3,M,W,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,680 ,淨追蹤,227 ,,,,觸及,"330,000","110,000","27,500",,"241,758.00","80,586.00","20,146.50",,,,,,,,,,,,,,,,,
,,2023,,,,,,,,,,,,,2024,,,,,,,,"204,047 ",自然觸及,"102,024 ",,,2025,淨追蹤,"1,650",550,138,,"1,500",500,130,,,,,2026,,,,,,,,,,,,
,FB,1 月,2 月,3 月,4 月,5 月,6 月,7 月,8 月,9 月,10 月,11 月,12 月,Total,1月,2月,3月,4月,5月,6 月,7 月,8 月,9 月,10 月,11 月,12 月,Total,1 月,2 月,3 月,4月,5月,6 月,7 月,8 月,9 月,10 月,11 月,12 月,Total,1 月,2 月,3 月,4月,5月,6 月,7 月,8 月,9 月,10 月,11 月,12 月,Total
,自然觸及人數,"20,841","24,108","35,928","140,682","93,917","70,755","84,913","66,524","50,010","64,972","63,001","111,326","401,675","50,308","89,086","195,283","108,920","115,984","126,875","88,599","110,909","78,738","661,471","64,436","79,248","1,253,388","38,577","117,132","90,598","63,411","89,236","67,133","77,081","62,068","342,646","64,031","232,969","69,670","1,314,552","308,475","277,231",,,,,,,,,,,
,月度成長率,,15.68%,49.03%,291.57%,-33.24%,-24.66%,20.01%,-21.66%,-24.82%,29.92%,-3.03%,76.71%,,-54.81%,77.08%,119.21%,-44.22%,6.49%,9.39%,-30.17%,25.18%,-29.01%,740.09%,-36.84%,22.99%,89.5%,-51.32%,203.63%,-22.65%,-30.01%,40.73%,-24.77%,14.82%,-19.48%,452.05%,-81.31%,263.84%,-70.09%,,342.77%,-10.13%,,,,,,,,,,,
,月度達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,35.07%,106.48%,82.36%,57.65%,81.12%,61.03%,,,,,,,,,,,,,,,,,,,,
,季度,-,-,"80,877",-,-,"305,354",-,-,"201,447",-,-,"239,299",,-,-,"334,677",-,-,"351,779",-,-,"278,246",-,-,"805,155",,,,"246,307",,,"219,780",,,"481,795",,,"366,670",,,,,,,,,,,,,,
,季度成長率,,,,,,277.55%,,,-34.03%,-,-,18.79%,,-,-,39.86%,-,-,5.11%,-,-,-20.90%,,,189.37%,,,,-69.41%,,,-10.77%,,,119.22%,,,-23.90%,,,,,,,,,,,,,,
,季度達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.64%,,,66.60%,,,,,,,,,,,,,,,,,,,,
,廣告觸及人數,0,"71,343","87,139","232,724","125,166","179,225","286,603","261,281","42,080","72,143","30,199","66,171","984,747","60,428","220,143","56,351","213,206","60,694","100,979","94,558","15,751","135,894","384,433","89,705","135,556","1,159,855","85,338","211,318","324,277","49,575","43,815","197,698","426,941","324,654","65,035","238,865","635,616","86,235",,"232,166","147,604",,,,,,,,,,,
,月度成長率,,,22.14%,167.07%,-46.22%,43.19%,59.91%,-8.84%,-83.89%,71.44%,-58.14%,119.12%,,-8.68%,264.31%,-74.40%,278.35%,-71.53%,66.37%,-6.36%,-83.34%,762.76%,182.89%,-76.67%,51.11%,,-37.05%,147.62%,53.45%,-84.71%,-11.62%,351.21%,115.96%,-23.96%,-79.97%,267.29%,166.10%,-86.43%,,169.22%,-36.42%,,,,,,,,,,,
,季度,-,-,"158,482",-,-,"537,115",-,-,"589,964",-,-,"168,513",,-,-,"336,922",-,-,"374,879",-,-,"246,203",,,"609,694",,,,"620,933",,,"291,088",,,"816,630",,,"960,716",,,,,,,,,,,,,,
,季度成長率,,,,,,238.91%,,,9.84%,-,-,-71.44%,,-,-,99.94%,-,-,11.27%,-,-,-34.32%,,,147.64%,,,,1.84%,,,-53.12%,,,180.54%,,,17.64%,,,,,,,,,,,,,,
,總觸及人數,"20,841","95,451","123,067","373,406","208,363","237,359","353,153","313,090","84,923","137,115","93,200","177,497","1,474,572","110,736","309,229","246,115","322,050","177,434","218,460","182,887","124,817","212,863","992,757","147,993","203,095","2,333,332","120,544","321,632","397,800","105,520","125,206","259,434","486,009","379,100","480,784","285,957","868,585","155,886","3,986,457","540,641","424,835",,,,,,,,,,,
,月度成長率,,358.00%,28.93%,203.42%,-44.20%,13.92%,48.78%,-11.34%,-72.88%,61.46%,-32.03%,90.45%,,-37.61%,179.25%,-20.41%,30.85%,-44.90%,23.12%,-16.28%,-31.75%,70.54%,366.38%,-85.09%,37.23%,,-40.65%,166.82%,23.68%,-73.47%,18.66%,107.21%,87.33%,-22.00%,26.82%,-40.52%,203.75%,-82.05%,,246.82%,-21.42%,,,,,,,,,,,
,季度,-,-,"239,359",,,"819,128",,,"751,166",,,"407,812",,,,"666,080",-,-,"717,944",-,-,"520,567",,,"1,343,845",,,,"839,976",,,"490,160",,,"1,345,893",,,"1,310,428",,,,,,,,,,,,,,
,季度成長率,,,,,,242.22%,,,-8.30%,,,-45.71%,,,,63.33%,-,-,7.79%,-,-,-27.49%,,,158.15%,,,,-37.49%,,,-41.65%,,,174.58%,,,-2.64%,,,,,,,,,,,,,,
,內容互動次數,830,"1,744","1,397","4,522","4,707","3,949","4,095","5,742","2,866","4,618","3,173","6,124","43,767","2,037","3,180","5,179","2,714","3,644","5,241","2,607","3,160","2,708","12,053","2,893","4,350","30,470","2,632","4,342","5,173","4,520","4,292","3,590","4,904","2,582",,,,,,,,,,,,,,,,,,
,月度成長率,,110.12%,-19.90%,223.69%,4.09%,-16.10%,3.70%,40.22%,-50.09%,61.13%,-31.29%,93.00%,,-66.74%,56.11%,62.86%,-47.60%,34.27%,43.83%,-50.26%,21.21%,-14.30%,345.09%,-76.00%,50.36%,,-39.49%,64.97%,19.14%,-12.62%,-5.04%,-16.36%,36.60%,-47.35%,-100.00%,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,季度,-,-,"3,971",,,"13,178",,,"12,703",-,-,"13,915",,-,-,"10,396",-,-,"11,599",-,-,"8,475",,,"19,296",,,,"12,147",,,"12,402",,,"7,486",,,0,,,,,,,,,,,,,,
,季度成長率,,,,,,231.86%,,,-3.60%,-,-,9.54%,,-,-,-25.29%,-,-,11.57%,-,-,-26.93%,,,127.68%,,,,-37.05%,,,2.10%,,,-39.64%,,,-100.00%,,,,,,,,,,,,,,
,新增淨追蹤數（新增-取消）,133,129,142,570,468,397,449,392,178,221,184,683,"3,946",196,345,952,343,304,243,201,202,215,"2,724",883,712,"7,530",561,910,"1,036",218,212,203,309,667,"1,507",468,763,56,6910,"1,161",389,,,,,,,,,,,
,月度成長率,,-3.01%,10.08%,301.41%,-17.89%,-15.17%,13.10%,-12.69%,-54.59%,24.16%,-16.74%,271.20%,,-71.30%,76.02%,175.94%,-63.97%,-11.37%,-20.07%,-17.28%,0.50%,6.44%,1166.98%,-67.58%,-19.37%,125.50%,-21.21%,62.21%,13.85%,-78.96%,-2.75%,-4.25%,52.22%,115.86%,125.94%,-68.94%,63.03%,-92.66%,,1973.21%,-66.49%,,,,,,,,,,,
,月度達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,102.00%,165.45%,188.36%,39.64%,38.55%,36.91%,,,,,,,,,,,,,,,,,,,,
,季度,-,-,404,-,-,"1,435",-,-,"1,019",-,-,"1,088",,-,-,"1,493",-,-,890,,,618,,,"4,319",,,,"2,507",,,633,,,"2,483",,,"1,287",,,,,,,,,,,,,,
,季度成長率,,,,,,255.20%,,,-28.99%,-,-,6.77%,,-,-,37.22%,,,-40.39%,,,-30.56%,,,598.87%,,,,-41.95%,,,-74.75%,,,292.26%,,,-48.17%,,,,,,,,,,,,,,
,季度達成率,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.94%,,,38.36%,,,,,,,,,,,,,,,,,,,,
,點擊連結,649,"4,078","4,120","8,425","2,177","6,428","8,541","10,376",639,896,551,"1,239","48,119","1,053","2,510",490,"1,011",163,873,429,229,884,"2,300","1,500","1,800","13,242",570,"1,210","1,659",710,1808,616,"1,168",486,,,,,,,,,,,,,,,,,,
,月度成長率,,528.35%,1.03%,104.49%,-74.16%,195.27%,32.87%,21.48%,-93.84%,40.22%,-38.50%,124.86%,,-15.01%,138.37%,-80.48%,106.33%,-83.88%,435.58%,-50.86%,-46.62%,286.03%,160.18%,-34.78%,20.00%,,-68.33%,112.28%,37.11%,-57.20%,154.65%,-65.93%,89.61%,-58.39%,-100.00%,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,,,,,,,
,季度,-,-,"8,847",-,-,"17,030",-,-,"19,556",-,-,"2,686",,-,-,"4,053",-,-,"2,047",,,"1,542",,,"5,600",,,,"3,439",,,"3,134",,,"1,654",,,0,,,,,,,,,,,,,,
,季度成長率,,,,-,-,92.49%,-,-,14.83%,-,-,-86.27%,,-,-,50.89%,-,-,-49.49%,,,-24.67%,,,263.16%,,,,-38.59%,,,-8.87%,,,-47.22%,,,-100.00%,,,,,,,,,,,,,,
