日期,星期,貼文主題,,,,,,,
,,,自然觸及人數, 總互動數,連結點擊數,連結點擊率,貼文總觸及,貼文總互動,帳號總追蹤數
Week 35｜0824 - 0830,,,,,,,,,
"45,894",一,MAD 論壇實錄,795,14,0,0.00%,"8,656",199,80
"45,895",二,一人餐廳：阿邱食堂,"2,267",69,2,0.09%,,,
"45,896",三,社群需求｜LOPFAIT 樂斐,"2,187",31,15,0.69%,,,
"45,897",四,甜點大師 Pierre Hermé 專訪,"1,543",40,0,0.00%,,,
"45,897",四,新餐廳 NÓMADA,583,7,0,0.00%,,,
"45,898",五,餐飲焦點,631,15,0,0.00%,,,
"45,898",五,社群需求｜2025 台灣最佳法國鮮奶油甜點 冠軍報導,650,23,5,0.77%,,,
Week 36｜0831 - 0906,,,,,,,,,
"45,901",一,The Baker & The Bottleman 中秋限定禮盒與新菜單,"1,054",13,0,0.00%,"12,153",111,260
"45,902",二,BeGood × Restaurant Allen,"1,245",17,0,0.00%,,,
"45,903",三,社群需求｜ÉCRU,"1,520",23,10,0.66%,,,
"45,904",四,COAST × LOUISE 特別餐會,"1,091",17,0,0.00%,,,
"45,904",四,2025 台灣最佳法國鮮奶油甜點冠軍交換食譜,"5,702",16,178,3.12%,,,
"45,905",五,紅茶論壇（舒湉）,"1,541",25,0,0.00%,,,
Week 37｜0907 - 0913,,,,,,,,,
2025-09-08,一,主廚以外的餐廳夥伴：L'Atelier par Yao-1,"1,446",23,4,0.28%,"21,037",288,102
2025-09-09,二,捌伍添第新主廚,"5,233",44,4,0.08%,,,
2025-09-10,三,社群需求｜Lin Restaurant,"1,353",21,9,0.67%,,,
2025-09-11,四,仙桃素專訪（Mokki）,"6,771",89,6,0.09%,,,
2025-09-11,四,社群需求｜必勝客X屋馬,478,12,2,0.42%,,,
2025-09-12,五,欣葉 × 簡天才餐會,"5,756",99,1,0.02%,,,
Week 38｜0914 - 0920,,,,,,,,,
2025-09-15,一,夜上海十週年,"5,044",44,7,0.14%,"54,860",629,80
2025-09-16,二,高山英紀專訪（Mokki）,"8,202",62,1,0.01%,,,
2025-09-17,三,雋新套餐,"6,975",116,8,0.11%,,,
2025-09-18,四,香港 Prince and the Peacock,907,8,0,0.00%,,,
2025-09-19,五,黃詩文（謝嫣薇）,"33,732",399,0,0.00%,,,
Week 39｜0921 - 0927,,,,,,,,,
2025-09-22,一,林明建（謝嫣薇）,"9,571",73,0,0.00%,"321,093","2,812",797
2025-09-23,二,凌威廉（謝嫣薇）,"2,640",21,0,0.00%,,,
2025-09-23,二, ROUCOU（章凱閎）,"2,073",16,1,0.05%,,,
2025-09-24,三,亘一郎 KOICHIRO,"2,047",30,0,0.00%,,,
2025-09-24,三,格蘭花格紅門窖藏,"1,520",12,0,0.00%,,,
2025-09-25,四,謝文（舊文）,"297,112","2,629",0,0.00%,,,
2025-09-26,五,Earnestos × Cultivate 餐會（Mokki）,"6,130",31,0,0.00%,,,
Week 40｜0928 - 1004,,,,,,,,,
2025-09-29,一,FRASSI 午間套餐,"1,744",24,2,0.11%,"14,979",199,230
2025-09-30,二,首爾一星主廚姜旻徹 Kang Min-chul 專訪（陳彬雁）,"5,793",42,0,0.00%,,,
2025-10-01,三,日山壽喜燒,"1,033",13,0,0.00%,,,
2025-10-02,四,新竹高宅專訪（Mokki）,"5,014",83,0,0.00%,,,
2025-10-02,四,社群需求｜鹹菜覆菜,616,19,0,0.00%,,,
2025-10-03,五,2025 法國葡萄酒侍酒師大賽 - 台灣區比賽宣傳,779,18,1,0.13%,,,
Week 41｜1005 - 1011,,,,,,,,,
2025-10-06,一,英國現代印度餐廳 Bibi（倫敦男子）,"1,095",21,8,0.73%,"18,925",162,32
2025-10-07,二,Lin Restaurant 秋季套餐,"2,548",20,7,0.27%,,,
2025-10-08,三,中華食肆大獎亞洲 30 強入選名單,"11,364",46,116,1.02%,,,
2025-10-09,四,好嶼后土牛（Karen）,"1,103",15,4,0.36%,,,
2025-10-09,四,Grana Padano 新聞稿,455,9,9,1.98%,,,
2025-10-10,五,香港 Bakehouse 新店開幕獨家限定產品,672,14,0,0.00%,,,
2025-10-11,六,Pasta&Co 花蓮義煮,"1,688",37,24,1.42%,,,
Week 42｜1012 - 1018,,,,,,,,,
2025-10-13,一,Yao 專訪（芝維）,"2,408",59,22,0.91%,"16,988",170,9
2025-10-14,二,餐廳夥伴：斑泊,"1,975",26,8,0.41%,,,
2025-10-15,三,餐廳夥伴：斑泊 vol.2,"1,292",26,7,0.54%,,,
2025-10-15,三,花蓮好釀「煙燻飛魚辣醬」試用集結文,"3,791",7,5,0.13%,,,
2025-10-16,四,印度菜專題概論 #1（林女）,"1,168",17,5,0.43%,,,
2025-10-16,四,美國乳品出口協會新聞稿,"4,372",7,2,0.05%,,,
2025-10-17,五,羅仕克拉義大利麵,"1,982",28,15,0.76%,,,
Week 43｜1019 - 1025,,,,,,,,,
2025-10-20,一,宿六 × 虎牌,"1,154",12,12,1.04%,"27,721",834,237
2025-10-21,二,夏慕尼 × David Goerne,879,13,9,1.02%,,,
2025-10-22,三,世界盃聖誕麵包大賽冠軍,"23,505",754,76,0.32%,,,
2025-10-23,四,印度菜專題概論 #2（林女）,"1,039",27,5,0.48%,,,
2025-10-24,五,紫米野薑花酒,676,19,5,0.74%,,,
2025-10-24,五,花蓮好釀「蜂蜜桂花釀」試用集結文,468,9,1,0.21%,,,
Week 44｜1026 - 1101,,,,,,,,,
2025-10-27,一,美味法國,945,8,8,0.85%,"12,938",191,120
2025-10-27,一,de nuit ＆ Yao,"1,586",20,11,0.69%,,,
2025-10-28,二,名廚小聚 29,"1,689",28,14,0.83%,,,
2025-10-29,三,松尾英明,"2,279",23,4,0.18%,,,
2025-10-30,四,印度菜專題概論 #3,569,11,3,0.53%,,,
2025-10-31,五,餐廳 A,"5,214",88,11,0.21%,,,
2025-11-01,六,Neo-Locale Ukai,656,13,5,0.76%,,,
Week 45｜1102 - 1108,,,,,,,,,
2025-11-03,一,亞洲 15,"12,403",84,49,0.40%,"33,841",402,41
2025-11-03,一,淳和食,"7,636",108,82,1.07%,,,
2025-11-04,二,暖味家廚,906,15,3,0.33%,,,
2025-11-05,三,Chaud Doux,"5,729",81,47,0.82%,,,
2025-11-06,四,香港 茗悅,600,11,6,1.00%,,,
2025-11-06,四,愛可米,"1,236",11,8,0.65%,,,
2025-11-07,五,Ricardo Chaneton,"5,331",92,12,0.23%,,,
Week 46｜1109 - 1115,,,,,,,,,
2025-11-09,日,火火火,664,9,11,1.66%,"28,722",382,53
2025-11-10,一,餐廳夥伴：澀 Sur- vol.1,"4,597",76,28,0.61%,,,
2025-11-10,一,美味法國Ｘ名廚論壇（芝維）,981,17,10,1.02%,,,
2025-11-11,二,餐廳夥伴：澀 Sur- vol.2,"3,340",48,22,0.66%,,,
2025-11-11,二,彰化設計展餐會（Mokki）,"9,861",114,95,0.96%,,,
2025-11-12,三,傳奇東京日本燒鳥餐廳​ TORIKAZE​ 登陸香港,907,9,4,0.44%,,,
2025-11-13,四,方蒔秋季菜單,"7,479",99,12,0.16%,,,
2025-11-14,五,印度專題 - Leela（林女）,893,10,3,0.34%,,,
Week 47｜1116 - 1122,,,,,,,,,
2025-11-17,一,地坊專訪（Mokki）,"2,696",39,52,1.93%,"19,408",220,27
2025-11-18,二,蟹宴：玖尹、Circum-,"1,693",26,15,0.89%,,,
2025-11-18,二,花蓮好釀工作坊報導,"1,086",9,6,0.55%,,,
2025-11-19,三,inari 福岡之夜,"1,311",23,12,0.92%,,,
2025-11-20,四,三二行館新菜單（芝維）,"5,749",37,30,0.52%,,,
2025-11-21,五,心潮仙宮專訪（芝維）,"6,873",86,33,0.48%,,,
Week 48｜1123 - 1129,,,,,,,,,
2025-11-24,一,印度專題 - Prince and The Peacock（林女）,721,12,1,0.14%,"17,847",244,519
2025-11-25,二,尚水農產 × 醲蒸餾所（Mokki）,"2,199",35,13,0.59%,,,
2025-11-26,三,世界盃聖誕麵包冠軍分享（翎翔）,"10,381",132,36,0.35%,,,
2025-11-27,四,專訪韓食空間主廚趙希淑（陳彬雁）,"1,912",16,4,0.21%,,,
2025-11-28,五,桔醬與桶柑餅,723,16,2,0.28%,,,
2025-11-28,五,三點三,955,23,2,0.21%,,,
2025-11-29,六,unDer Lab 冬春套餐（Carrie）,956,10,5,0.52%,,,
Week 49｜1130 - 1206,,,,,,,,,
2025-12-01,一,COFE 類白巧克力事件（顧瑋）,"1,245",23,23,1.85%,"13,928",166,38
2025-12-02,二,山海樓大正浪漫（Mokki）,"5,621",41,26,0.46%,,,
2025-12-03,三,元紀主廚專訪（Karen）,"3,279",50,18,0.55%,,,
2025-12-04,四,King River 精品和牛,"2,071",19,17,0.82%,,,
2025-12-05,五,2025 TIC 臺北國際廚藝挑戰賽冠軍專訪,"1,712",33,15,0.88%,,,
Week 50｜1207 - 1213,,,,,,,,,
2025-12-07,日,名廚小聚 #30,"1,703",24,0,0.00%,"20,576",193,25
2025-12-08,一,餐廳夥伴：SENS -1,"5,148",51,16,0.31%,,,
2025-12-08,一,餐廳夥伴：SENS -2,"1,934",26,6,0.31%,,,
