,,,,,,,,,,,,,,,,,,,,,Q1,M,W,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,觸及,"90,000","30,000","7,500",,,,,,,,,,,,,,,,,,,,,
,,2023,,,,2024,,,,,,,,,,,,,2025,淨追蹤,"1,050",350,88 ,,,,,,,,,2026,,,,,,,,,,,,
,IG,10月,11月,12月,總計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,總計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,總計,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,總計
,自然觸及人數,"9,061","7,306",8207,"262,961","6,562","6,082","7,427","8,062","9,995","19,573","18,116","23,723","30,092","44,020","44,094","28,349","149,296","27,950","41,317","39,014","36,604","36,834","25,921","99,259","50,614","94,116","41,592","490,659","185,038","1,168,918","379,072","214,597",,,,,,,,,,,
,月度成長率,-,-19.37%,12.33%,,-20.04%,-7.31%,22.11%,8.55%,23.98%,95.83%,-7.44%,30.95%,26.85%,46.28%,0.17%,-35.71%,,-1.41%,47.82%,-5.57%,-6.18%,0.63%,-29.63%,282.93%,-49.01%,85.95%,-55.81%,1079.70%,-62.29%,,104.86%,-43.39%,,,,,,,,,,,
,月度達成率,,,,,,,,,,,,,,,,,,93.17%,137.72%,130.05%,122.01%,,,,,,,,,,,,,,,,,,,,,,
,季度,,,,,,,"20,071",,,"37,630",,,"71,931",,,"116,463",,,,"108,281",,,"99,359",,,"243,989",,,"717,289",,,,,,,,,,,,,,
,季度成長率,,,,,,,,,,87.48%,,,91.15%,,,61.91%,,,,-7.03%,,,-8.24%,,,145.56%,,,193.98%,,,,,,,,,,,,,,
,季度達成率,,,,,,,,,,,,,,,,,,,,120.31%,,,,,,,,,,,,,,,,,,,,,,,
,廣告觸及人數,"9,042","3,397",6060,,"1,512",30593,"26,563","44,934","35,227","58,377","21,550","8,772","21,197","48,560","19,989","45,365","265,521","35,120","22,835","71,125","74,924","54,906","87,501","48,238","86,524","64,995","108,190","104,022","25,750","784,130","64,301","16,605",,,,,,,,,,,
,月度成長率,-,-62.43%,78.39%,,-75.05%,1923.35%,-13.17%,69.16%,-21.60%,65.72%,-63.08%,-59.29%,141.64%,129.09%,-58.84%,126.95%,,-22.58%,-34.98%,211.47%,5.34%,-26.72%,59.37%,-44.87%,79.37%,-24.88%,66.46%,-3.85%,-75.25%,,149.71%,-74.18%,,,,,,,,,,,
,季度,,,,,,,"58,668",,,"138,538",,,"51,519",,,"113,914",,,,"129,080","168,884",,"217,331",,,"199,757",,,"237,962",,,,,,,,,,,,,,
,季度成長率,,,,,,,,,,136.14%,,,-62.81%,,,121.11%,,,,13.31%,,,68.37%,,,-8.09%,,,19.13%,,,,,,,,,,,,,,
