日期,星期,貼文主題,單篇貼文成效,,,,,
,,,分類,自然觸及人數, 總互動數,貼文總觸及,貼文總互動,帳號總追蹤數
Week 31｜0727 - 0802,,,,,,,,
2025-07-28,一,卉寓茶餐會,2C 餐飲食事,"2,904",116,"15,772",671,281
2025-07-29,二,T+T × Justin Quek,2C 餐飲食事,"6,085",229,,,
2025-07-30,三,社群需求｜聯合利華-主廚專訪,品牌聚焦,"2,172",57,,,
2025-07-31,四,加賀帕菲（Mokki）,2B 採訪報導,"1,711",66,,,
2025-08-01,五,POUYUENJI 寶元紀外帶茶飲,2C 餐飲食事,"2,900",203,,,
Week 32｜0803 - 0809,,,,,,,,
2025-08-04,一,松阪牛 × 肉料理．福,2C 餐飲食事,"4,041",149,"15,814",626,75
2025-08-06,三,主廚以外的餐廳夥伴：小小樹食-1,2B 採訪報導,"4,655",211,,,
2025-08-07,四,主廚以外的餐廳夥伴：小小樹食-2,2B 採訪報導,"4,569",150,,,
2025-08-08,五,Brise 新主廚,2C 餐飲食事,"2,549",116,,,
Week 33｜0810 - 0816,,,,,,,,
2025-08-11,一,岩柳麻子專訪（Mokki）,2B 採訪報導,"5,392",342,"20,739","1,289",71
2025-08-12,二,三星菇神,2B 採訪報導,"4,902",337,,,
2025-08-13,三,葉志光 × 陳泰榮餐會（Karen）,2C 餐飲食事,"1,902",88,,,
2025-08-14,四,Chefs for the Blue（Mokki）,2B 採訪報導,"2,090",79,,,
2025-08-15,五,作伙餐會（Mokki）,2C 餐飲食事,"6,453",443,,,
Week 34｜0817 - 0823,,,,,,,,
2025-08-18,一,Asaban × 火車餐會,2C 餐飲食事,"4,142",172,"21,998","1,013",142
2025-08-19,二,臺灣米其林 2025,2B 產業動態,"6,342",359,,,
2025-08-20,三,Tableau by Craig Yang（Mokki）,2B 採訪報導,"5,518",320,,,
2025-08-21,四,社群需求｜名廚小聚 28,品牌聚焦,"2,279",74,,,
2025-08-22,五,（簡中翻譯）香港二星 Arbor 主廚 Eric Räty,2B 採訪報導,"2,178",85,,,
2025-08-22,五,社群需求｜花蓮在地食材,品牌聚焦,"1,539",3,,,
Week 35｜0824 - 0830,,,,,,,,
2025-08-25,一,火焱．伙宴,2C 餐飲食事,"3,975",142,"34,270","2,521",98
2025-08-26,二,一人餐廳：阿邱食堂,2B 採訪報導,"14,474","1,492",,,
2025-08-27,三,社群需求｜LOPFAIT 樂斐,品牌聚焦,"5,506",158,,,
2025-08-28,四,甜點大師 Pierre Hermé 專訪,2B 採訪報導,"1,852",82,,,
2025-08-28,四,新餐廳 NÓMADA,2C 餐飲食事,"2,776",195,,,
2025-08-29,五,社群需求｜2025 台灣最佳法國鮮奶油甜點 冠軍報導,品牌聚焦,"5,687",452,,,
Week 36｜0831 - 0906,,,,,,,,
2025-09-01,一,The Baker & The Bottleman 中秋限定禮盒與新菜單,2C 餐飲食事,"2,264",48,"16,086",553,202
2025-09-02,二,BeGood × Restaurant Allen,2C 餐飲食事,"2,723",71,,,
2025-09-03,三,社群需求｜ÉCRU,品牌聚焦,"3,867",121,,,
2025-09-04,四,COAST × LOUISE 特別餐會,2C 餐飲食事,"2,707",90,,,
2025-09-04,四,2025 台灣最佳法國鮮奶油甜點冠軍交換食譜,品牌聚焦,"2,038",88,,,
2025-09-05,五,紅茶論壇（舒湉）,2B 產業動態,"2,487",135,,,
Week 37｜0907 - 0913,,,,,,,,
2025-09-08,一,主廚以外的餐廳夥伴：L'Atelier par Yao-1,2B 採訪報導,"4,891",247,"27,439","1,125",74
2025-09-09,二,捌伍添第新主廚,2C 餐飲食事,"3,058",94,,,
2025-09-10,三,社群需求｜Lin Restaurant,品牌聚焦,"7,588",238,,,
2025-09-11,四,仙桃素專訪（Mokki）,2B 採訪報導,"6,412",326,,,
2025-09-11,四,社群需求｜必勝客X屋馬,品牌聚焦,"1,318",31,,,
2025-09-12,五,欣葉 × 簡天才餐會,2C 餐飲食事,"4,172",189,,,
Week 38｜09014 - 0920,,,,,,,,
2025-09-15,一,夜上海十週年,2C 餐飲食事,"1,772",43,"21,826","1,075",47
2025-09-16,二,高山英紀專訪（Mokki）,2B 採訪報導,"3,006",126,,,
2025-09-17,三,雋新套餐,2C 餐飲食事,"2,584",47,,,
2025-09-18,四,香港 Prince and the Peacock,2C 餐飲食事,"1,698",41,,,
2025-09-19,五,黃詩文（謝嫣薇）,2B 採訪報導,"12,766",818,,,
Week 39｜0921 - 0927,,,,,,,,
2025-09-21,一,林明建（謝嫣薇）,2B 採訪報導,"5,836",139,"71,250","1,952",275
2025-09-22,二,凌威廉（謝嫣薇）,2B 採訪報導,"3,808",136,,,
2025-09-22,二, ROUCOU（章凱閎）,2B 採訪報導,"2,164",68,,,
2025-09-24,三,亘一郎 KOICHIRO,2B 採訪報導,"3,063",95,,,
2025-09-25,四,謝文（舊文）,2B 採訪報導,"51,980","1,425",,,
2025-09-26,五,Earnestos × Cultivate 餐會（Mokki）,2C 餐飲食事,"4,399",89,,,
Week 40｜0928 - 1004,,,,,,,,
2025-09-29,一,FRASSI 午間套餐,2C 餐飲食事,"3,067",164,"15,887",932,154
2025-09-30,二,首爾一星主廚姜旻徹 Kang Min-chul 專訪（陳彬雁）,2B 採訪報導,"2,921",120,,,
2025-10-01,三,日山壽喜燒,2B 採訪報導,"1,837",52,,,
2025-10-02,四,新竹高宅專訪（Mokki）,2B 採訪報導,"4,827",297,,,
2025-10-02,四,社群需求｜鹹菜覆菜,品牌聚焦,"1,430",48,,,
2025-10-03,五,2025 法國葡萄酒侍酒師大賽 - 台灣區比賽宣傳,品牌聚焦,"1,805",251,,,
Week 41｜1005 - 1011,,,,,,,,
2025-10-06,一,英國現代印度餐廳 Bibi（倫敦男子）,2B 採訪報導,"3,182",61,"23,663","1,078",70
2025-10-07,二,Lin Restaurant 秋季套餐,2C 餐飲食事,"6,103",316,,,
2025-10-08,三,中華食肆大獎亞洲 30 強入選名單,2B 採訪報導,"4,127",206,,,
2025-10-09,四,好嶼后土牛（Karen）,2B 採訪報導,"1,820",53,,,
2025-10-09,四,Grana Padano 新聞稿,品牌聚焦,"1,845",56,,,
2025-10-10,五,香港 Bakehouse 新店開幕獨家限定產品,2C 餐飲食事,"2,896",147,,,
2025-10-11,六,Pasta&Co 花蓮義煮,2B 採訪報導,"3,690",239,,,
Week 42｜1012 - 1018,,,,,,,,
2025-10-13,一,Yao 專訪（芝維）,2B 採訪報導,"3,820",167,"19,992",947,64
2025-10-14,二,餐廳夥伴：斑泊,2B 採訪報導,"5,718",266,,,
2025-10-15,三,餐廳夥伴：斑泊 vol.2,2B 採訪報導,"4,434",261,,,
2025-10-15,三,花蓮好釀「煙燻飛魚辣醬」試用集結文,品牌聚焦,"1,933",61,,,
2025-10-16,四,印度菜專題概論 #1（林女）,2B 採訪報導,"1,202",74,,,
2025-10-16,四,美國乳品出口協會新聞稿,品牌聚焦,612,11,,,
2025-10-17,五,羅仕克拉義大利麵,2B 產業動態,"2,273",107,,,
Week 43｜1019 - 1025,,,,,,,,
2025-10-20,一,宿六 × 虎牌,2C 餐飲食事,"1,964",61,"15,810",609,62
2025-10-21,二,夏慕尼 × David Goerne,2C 餐飲食事,"2,190",60,,,
2025-10-22,三,世界盃聖誕麵包大賽冠軍,2B 產業動態,"6,899",303,,,
2025-10-23,四,印度菜專題概論 #2（林女）,2B 採訪報導,"1,295",48,,,
2025-10-24,五,紫米野薑花酒,2C 餐飲食事,"1,394",87,,,
2025-10-24,五,花蓮好釀「蜂蜜桂花釀」試用集結文,品牌聚焦,"2,068",50,,,
Week 44｜1026 - 1101,,,,,,,,
2025-10-27,一,美味法國,品牌聚焦,"2,398",55,"18,835",760,24
2025-10-27,一,de nuit ＆ Yao,2C 餐飲食事,"3,751",110,,,
2025-10-28,二,名廚小聚 29,2B 產業動態,"1,875",112,,,
2025-10-29,三,松尾英明,2B 採訪報導,"1,980",74,,,
2025-10-30,四,印度菜專題概論 #3,2B 產業動態,"1,115",58,,,
2025-10-31,五,餐廳 A,2C 餐飲食事,"2,288",127,,,
2025-11-01,六,Neo-Locale Ukai,2C 餐飲食事,"5,428",224,,,
Week 45｜1102 - 1108,,,,,,,,
2025-11-03,一,亞洲 15,2B 產業動態,"7,795",442,"27,605","1,321",64
2025-11-03,一,淳和食,2B 採訪報導,"7,465",329,,,
2025-11-04,二,暖味家廚,2B 產業動態,"1,998",69,,,
2025-11-05,三,Chaud Doux,2C 餐飲食事,"5,129",258,,,
2025-11-06,四,香港 茗悅,2C 餐飲食事,807,17,,,
2025-11-06,四,愛可米,品牌聚焦,"2,437",94,,,
2025-11-07,五,Ricardo Chaneton,2B 採訪報導,"1,974",112,,,
Week 46｜1109 - 1115,,,,,,,,
2025-11-09,日,火火火,2C 餐飲食事,"1,885",51,"27,121","1,219",93
2025-11-10,一,餐廳夥伴：澀 Sur- vol.1,2B 採訪報導,"7,415",436,,,
2025-11-10,一,美味法國Ｘ名廚論壇（芝維）,2B 產業動態,"2,230",89,,,
2025-11-11,二,餐廳夥伴：澀 Sur- vol.2,2B 採訪報導,"3,678",159,,,
2025-11-11,二,彰化設計展餐會（Mokki）,2B 採訪報導,"3,182",181,,,
2025-11-12,三,傳奇東京日本燒鳥餐廳​ TORIKAZE​ 登陸香港,2C 餐飲食事,"1,977",80,,,
2025-11-13,四,方蒔秋季菜單,2C 餐飲食事,"4,919",223,,,
2025-11-14,五,印度專題 - Leela（林女）,2B 採訪報導,"1,835",49,,,
Week 47｜1116 - 1122,,,,,,,,
2025-11-17,一,地坊專訪（Mokki）,2B 採訪報導,"1,742",54,"17,514",798,249
2025-11-18,二,蟹宴：玖尹、Circum-,2C 餐飲食事,"2,041",68,,,
2025-11-18,二,花蓮好釀工作坊報導,品牌聚焦,"1,858",49,,,
2025-11-19,三,inari 福岡之夜,2C 餐飲食事,"2,796",102,,,
2025-11-20,四,三二行館新菜單（芝維）,2C 餐飲食事,"1,862",73,,,
2025-11-21,五,心潮仙宮專訪（芝維）,2B 採訪報導,"7,215",452,,,
Week 48｜1123 - 1129,,,,,,,,
2025-11-24,一,印度專題 - Prince and The Peacock（林女）,2B 採訪報導,"1,351",68,"11,270",448,110
2025-11-25,二,尚水農產 × 醲蒸餾所（Mokki）,2C 餐飲食事,843,18,,,
2025-11-26,三,世界盃聖誕麵包冠軍分享（翎翔）,2B 產業動態,"1,349",46,,,
2025-11-27,四,專訪韓食空間主廚趙希淑（陳彬雁）,2B 採訪報導,"1,765",49,,,
2025-11-28,五,桔醬與桶柑餅,品牌聚焦,908,48,,,
2025-11-28,五,三點三,2C 餐飲食事,"3,324",152,,,
2025-11-29,六,unDer Lab 冬春套餐（Carrie）,2C 餐飲食事,"1,730",67,,,
Week 49｜1130 - 1206,,,,,,,,
2025-12-01,一,COFE 類白巧克力事件（顧瑋）,2B 產業動態,"1,995",150,"13,514",582,32
2025-12-02,二,山海樓大正浪漫（Mokki）,2C 餐飲食事,982,37,,,
2025-12-03,三,元紀主廚專訪（Karen）,2B 採訪報導,"5,041",198,,,
2025-12-04,四,King River 精品和牛,2B 產業動態,"2,216",63,,,
2025-12-05,五,2025 TIC 臺北國際廚藝挑戰賽冠軍專訪,品牌聚焦,"3,280",134,,,
Week 50｜1207 - 1213,,,,,,,,
2025-12-07,日,名廚小聚 #30,2B 產業動態,"2,023",94,"23,047",781,43
2025-12-08,一,餐廳夥伴：SENS -1,2B 採訪報導,"6,350",239,,,
2025-12-08,一,餐廳夥伴：SENS -2,2B 採訪報導,"5,137",178,,,
2025-12-09,二,倫敦現代泰菜餐廳 Anglo Thai（倫敦男子）,2C 餐飲食事,"4,193",111,,,
2025-12-10,三,TIC 料理舞台秀,品牌聚焦,"2,379",60,,,
2025-12-11,四,二階割烹冬季菜單,2C 餐飲食事,"1,197",33,,,
2025-12-12,五,Le Grand Restaurant 十周年,2C 餐飲食事,"1,768",66,,,
Week 51｜1214 - 1220,,,,,,,,
2025-12-15,一,PJ Pastrami（Mokki）,2B 採訪報導,"12,674","1,344","27,804","2,200",151
2025-12-16,二,名廚試用：沙漠湖鹽,品牌聚焦,"3,091",79,,,
2025-12-16,二,（簡中翻譯）2025 亞洲最佳甜點師 Dej Kewkacha,2B 採訪報導,"4,875",456,,,
2025-12-17,三,萬茶盛典新聞稿,品牌聚焦,"2,094",105,,,
2025-12-17,三,夏花餐室客座（Mokki）,2B 採訪報導,"2,096",136,,,
2025-12-18,四,欣葉・鐘菜的美味與服務精神,2B 採訪報導,"1,185",47,,,
2025-12-19,五,Circum-× 鴻桃軒,2C 餐飲食事,"1,789",33,,,
Week 52｜1221 - 1227,,,,,,,,
2025-12-22,一,好食好事,品牌聚焦,"1,209",43,"47,713","2,681",153
2025-12-22,一,Miznon,2C 餐飲食事,"5,163",458,,,
2025-12-23,二,改變印度料理未來的三個女人（謝嫣薇）,2B 採訪報導,"2,006",86,,,
2025-12-24,三,東京印度咖哩老店（施清元）,2B 採訪報導,"6,401",523,,,
2025-12-25,四,Double V,2C 餐飲食事,"1,779",120,,,
2025-12-25,四,2025 法國鮮奶油甜點賽事回顧專案,品牌聚焦,"2,063",93,,,
2025-12-26,五,《黑白大廚》崔鉉碩專訪（陳彬雁）,2B 採訪報導,"27,315","1,358",,,
2025-12-27,六,2025 美國米 KOC 社群內容推廣合作案,品牌聚焦,"1,777",32,,,
Week 53 / Week 01｜1228 - 0103,,,,,,,,
2025-12-29,一,Théorie Theory,2C 餐飲食事,"3,834",125,"13,730",651,100
2025-12-30,二,HOPSCOTCH／英國豬新聞稿（一）,品牌聚焦,"1,276",27,,,
2025-12-30,二,精緻南亞料理 Old Nepal Tokyo（施清元）,2B 採訪報導,"1,818",132,,,
2025-12-31,三,𝟵𝟴 𝗪𝗜𝗡𝗘𝘀 & 𝗗𝗼𝗺𝗮𝗶𝗻𝗲 𝗧𝗲𝘁𝘁𝗮,2B 產業動態,"1,303",93,,,
