,,,,,,,,
,填寫人,Clara Chang,,Mike Chen,,,,
,週五更新後台數據,FB,,IG,,,Line,
,觀測指標,自然觸及人數,新增淨追蹤數,自然觸及人數,新增淨追蹤數,自然互動數,開封數,淨新增聯絡人
,2025 週目標,"19,718",130,"14,400",180,720,,
,W25,"26,778",49,"3,230",17,,"1,068",1
,W26,"65,696",139,"10,230",23,,973,7
,W27,"26,866",44,"8,287",28,,"1,024",6
,W28｜07/05-07/11,"15,718",72,"6,267",21,,924,13
,W29｜07/12-07/18,"21,891",44,"4,496",25,,831,6
,W30｜07/19-07/25,"32,209",29,"8,957",23,,741,-1
,W31｜07/26-08/01,"27,495",40,"4,221",41,,800,2
,W32｜08/02-08/08,"18,218",30,"4,478",54,,706,6
,W33｜08/09-08/15,"11,704",22,"6,301",14,,876,5
,W34｜08/16-08/22,"19,094",38,"6,469",102,,851,10
,W35｜08/23-08/29,"65,331",74,"14,584",126,,797,5
,W36｜08/30-09/05,"37,231",79,"10,437",27,,826,7
,W37｜09/06-09/12,"24,035",58,"5,523",18,,856,0
,W38｜09/13-09/19,"21,450",55,"10,243",28,,840,-1
,W39｜09/20-09/26,"16,225",46,"11,425",254,,821,3
,W40｜09/27-10/03,"34,073",99,"11,417",65,,858,9
,W41｜10/04-10/10,"26,788",128,"13,607",60,,839,25
,W41｜10/11-10/17,"587,377","2,176","17,180",40,,855,21
,W46｜11/15-11/21,"19,049",295,"19,895",103,,952,13
,W49｜12/06-12/12,"27,373",171,"9,241",92,,881,14
,W50｜12/13-12/19,"16,816",107,"9,326",95,,938,3
,W51｜12/20-12/26,"25,526",112,"8,590",113,,924,0
,W01｜12/27-01/02,"30,007",128,"11,241",99,,915,0
,W02｜01/03-01/09,"11,897",224,"8,485",137,,854,1
,W03｜01/10-01/16,"11,957",110,"7,916",82,,946,4
,W04｜01/17-01/23,"11,878",135,"12,696",139,,927,2
,W05｜01/24-01/30,"10,750",81,"10,741",139,,954,7
,W06｜01/31-02/06,"12,759",70,"10,042",44,,638,1
,W07｜02/07-02/13,"72,086",274,"18,240",210,,952,2
,W08｜02/14-02/20,"28,107",249,"12,543",158,,963,5
,W09｜02/21-02/27,"32,736",309,"15,976",282,,970,6
,W10｜02/28-03/06,"20,855",278,"10,829",199,,,
,W11｜03/07-03/13,"22,020",146,"7,583",244,,,
,W12｜03/14-03/20,"41,065",340,"13,581",236,,,
,W13｜03/21-03/27,"39,042",304,"18,426",197,,,
,W14｜03/28-04/03,"37,079",159,"15,031",127,,,
,W15｜04/04-04/10,"14,593",39,"8,870",136,,,
,W16｜04/11-04/17,"18,668",26,"11,680",168,,,
,W17｜04/18-04/24,"26,435",70,"10,500",139,,,
,W19｜05/02-05/08,"32,539",81,"14,123",123,,,
,W20｜05/09-05/15,"13,743",3,"11,438",171,,,
,W21｜05/16-05/22,"21,448",61,"11,947",138,,,
,W22｜05/23-05/29,"31,157",57,"12,838",70,,,
,W23｜05/30-06/05,"34,795",58,"8,052",22,,,
,W24｜06/06-06/12,"22,823",59,"8,895",22,,,
,W25｜06/13-06/19,"15,666",32,"8,362",9,,,
,W26｜06/20-06/26,"15,000",16,"13,568",34,,,
,W27｜06/27-07/03,"32,486",50,"10,343",97,,,
,W28｜07/04-07/10,"22,127",52,"23,923",136,,,
,W29｜07/11-07/17,"30,204",80,"25,042",101,,,
,W30｜07/18-07/24,"12,541",38,"40,434",334,,,
,W31｜07/25-07/31,"15,384",22,"30,200",385,,,
,W32｜08/01-08/07,"13,815",74,"16,165",106,713,,
,W33｜08/08-08/14,"15,949",173,"15,420",60,906,,
,W34｜08/15-08/21,"30,500",182,"22,270",163,1386,,
,W35｜08/22-08/28,,,,,,,
,1 月,"38,577",561,,,,,
,2 月,"117,132",958,,,,,
,3 月,"91,504","1,053","34,656",742,,,
,4 月,"63,411",263,"36,604",658,,,
,5 月,"89,236",274,"19,409",320,,,
,6 月,"67,133",162,"25,921",171,,,
,7 月,"77,081",222,,,,,
,8 月,"49,728",254,,,,,
,月成長率,-35%,14%,34%,-47%,,#REF!,#REF!
,月達成率,63%,51%,86%,49%,,,
,季達成率,204%,166%,120%,201%,,,
,粉絲總數,"29,762",,"15,270",,,"1,014",
,月目標差距,"-29,144",-246,"6,604",348,,,
,,,,,,,,
,fb,Q1 ,M,W,,,,
,觸及,"330,000","110,000","27,500",,,,
,淨追蹤,"1,650",550,138,,,,
,IG,Q1,M,W,,,,
,觸及,"90,000","30,000","7,500",,,,
,淨追蹤,"1,050",350,88 ,,,,
,,,,,,,,
,fb,Q3,M,W,,,,
,觸及,"236,615.50","78,871.83","19,717.96",,,,
,淨追蹤,"1,500",500,130,,,,
