,,2023,,,,,2024,,,,,,,,,,,,,,2025,,,,,,,,,,,,,2026,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,觸及人數目標,"1,638,000",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,粉絲數目標,"7,500",,,,,,,
,,10月,11月,12月,總計,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10 月,11 月,12 月,Total,,1月,2月,3月,4月,5月,6月,7月,8月,9月,10 月,11 月,12 月,Total,1月,2月,3月,4月,5月,6月,7月,8月,9月,10 月,11 月,12 月,Total
,總自然觸及人數,"77,170","73,368","122,729","664,636",,"60,341","95,465","203,067","121,104","130,129","150,721","110,810","138,585","113,295","710,021","113,197","112,196","1,402,684",,"66,527","158,449","129,612","100,015","126,070","93,054","176,340","112,682","436,762","105,623","723,628","254,708","2,483,470","687,547","491,828",,,,,,,,,,,
,月度成長率,-,-4.93%,67.28%,,,-50.83%,58.21%,112.71%,-40.36%,7.45%,15.82%,-26.48%,25.07%,-18.25%,526.70%,-84.06%,-0.88%,100.2%,,-40.70%,138.17%,-18.20%,-22.84%,26.05%,-26.19%,89.50%,-36.10%,287.61%,-75.82%,585.10%,-64.80%,,,,,,,,,,,,,,
,季度,-,-,"273,267",,,-,-,"358,873",-,-,"401,954",-,-,"362,690",-,-,"935,414",,,-,-,"354,588",-,-,"319,139",-,-,"725,784",-,-,"1,083,959",,,,,,,,,,,,,,
,季度成長率,-,-,-,,,-,-,31.33%,-,-,12.00%,-,-,-9.77%,-,-,157.91%,,,-,-,-62.09%,-,-,-10.00%,-,-,127.42%,-,-,49.35%,,,,,,,,,,,,,,
,總廣告觸及人數,"81,192","33,615","72,268",,,"61,963","250,784","82,953","258,225","95,955","159,378","116,125","24,549","157,099","433,072","109,720","180,950","1,930,773",,"120,458","234,153","395,402","124,499","98,721","285,199","475,179","411,178","130,030","347,055","739,638","111,985","784,130","296,467","164,209",,,,,,,,,,,
,月度成長率,-,-58.60%,114.99%,,,-14.26%,304.73%,-66.92%,211.29%,-62.84%,66.10%,-27.14%,-78.86%,539.94%,175.67%,-74.66%,64.92%,,,-33.43%,94.39%,68.86%,-68.51%,-20.71%,188.89%,66.61%,-13.47%,-68.38%,166.90%,113.12%,-84.86%,,,,,,,,,,,,,,
,季度,-,-,"187,075",,,-,-,"395,700",-,-,"513,558",-,-,"297,773",-,-,"723,742",,,-,-,"750,013",-,-,"508,419",-,-,"1,016,387",-,-,"1,198,678",,,,,,,,,,,,,,
